summary_nr,report_id,event_date,age,sex,event_desc,event_keyword,const_end_use,build_stories,nonbuild_ht,project_cost,project_type,rel_insp_nr,event_type,occ_code,const_op_cause,fat_cause,fall_distance,fall_ht,injury_line_nr,Category
221630452,626000,12/31/2023,48,M,Employee dies from natural causes after found unresponsive,"Artery,Cardiovasc Disease,Cardiovasc System,Hypertension,Natural Causes,Respiratory,Respiratory Tract,Tractor,Tractor Trailer,Truck Driver,Unresponsive",,,,,,347202152,12,804.0,,,,,1,Vehicle Accidents
221627961,418600,12/30/2023,30,F,EMT rendering aid is killed when struck by car,"Blunt force,Blunt force trauma,Collision,Distracted,Driver,Emergency Response,First Aid,Highway,Lighting,Motor Vehicle,Poor Visibility,Struck By",,,,,,347187551,1,7017.0,,,,,1,Blunt Force/Struck By Objects
221628027,213900,12/30/2023,19,F,"One employee dies, one is hospitalized from CO overexposure","Asphyxiated,Carbon Monoxide,Carboxyhemoglobin,Chemical,Chemical Exposure,Forklift,Gas,Inadequate Maint,Industrial Truck,Inexperience,Inhalation,Lack of oxygen,Material Handling,Non-PEL Overexposure,Ov",,,,,,347187718,8,365.0,,,,,1,Vehicle Accidents
221630601,653510,12/30/2023,56,M,"Employee loses consciousness due to H2S exposure, later dies","Air Monitoring,Alarm,Asphyxiated,Carbon Monoxide,Carboxyhemoglobin,Chemical,Chemical Exposure,Chemical Reaction,Chemical Vapor,Clogged,Emergency Response,Gas,Hydrochloric Acid,Hydrogen Sulfide,Insuffi",,,,,,347203556,8,579.0,,,,,1,Asphyxiation
221627730,213600,12/29/2023,36,M,Employee dies when run over and crushed by truck,"Abdomen,Barrel,Crushed,Crushing,Fall,Fall From Elevation,Fracture,Head,Laborer,Motor Vehicle,Run Over,Truck,Truck Driver,Wheel,Work Surface",,,,,,347186603,1,889.0,,,,,1,Falls
221629025,830400,12/29/2023,56,M,Employee falls from scissor lift causing head trauma leading to death,"Aerial Lift,Barn,Blunt force,Blunt force trauma,Elevated,Elevated Work Plat,Elevated Work Platform,Fall,Fall From Elevation,Frame,Framing,Head,Panel,Portable Power Tool,Scaffold,Scissor lift,Sheet Met",C,1.0,,,A,347194151,5,,21.0,,7.0,7.0,1,Falls
221629371,551702,12/29/2023,52,M,Track hoe bucket strikes employee causing internal injuries,"Backhoe,Backhoe Boom,Backhoe Bucket,Blunt force trauma,Bucket,Equipment Operator,Fracture,Guide,Internal,Internal Injuries,Loader/Backhoe,Maintenance,Rib,Struck By,Thorax,Traumatic",,,,,,347196982,1,889.0,,,,,1,Blunt Force/Struck By Objects
221627722,950633,12/28/2023,75,M,Employee dies of cardiac disease after being crushed by gate,"Artery,Cardiovasc Disease,Cardiovasc System,Coronary artery disease,Crushed,Falling Object,Fence,Gate,Head,Maintenance,Metal fence,Misjudgment,Misjudgment of Hazardous Situation,Pipe,Unsecured,Yard",,,,,,347186587,1,519.0,,,,,1,Falls
221627847,213400,12/28/2023,38,M,Employee is killed from head trauma when crushed by ramp,"Automobile,Automotive Repair,Blunt force,Blunt force trauma,Crushed,Falling Object,Fracture,Head,Inexperience,Laborer,Ramp,Struck By,Trapped,Work Surface",,,,,,347186942,1,889.0,,,,,1,Falls
221628258,636900,12/28/2023,27,M,Employee falls from roof causing fatality,"Commercial Building,Elevated,Elevated Work Plat,Elevated Work Platform,Fall,Fall From Elevation,Fracture,Ground,Pipe,Repair,Roof,Roofer,Vent",C,,14.0,,C,347188484,5,595.0,43.0,,14.0,14.0,1,Falls
